title,author,subject,year,abstract,tags,availability
"High performance computing, HiPC 2003","International Conference on High Performance Computing (10th 2003 Hyderabad, India)",Software Architecture,2003,Topics: software architecture,software architecture,unavailable
Migrating Siebel Database from DB2/Oracle for Nt to DB2 for Os/390,IBM Redbooks,Software Architecture,2001,Topics: software architecture,software architecture,available
How to Draw Comic Book Heroes and Villains CD-ROM,Christopher Hart; Diamar Interactice,Software Architecture,1997,Topics: software architecture,software architecture,unavailable
"Using an architectural approach to integrate heterogeneous, distributed software components",John R. Callahan,Software Architecture,1995,Topics: software architecture,software architecture,unavailable
Coloured Petri Nets,Kurt Jensen; Lars M. Kristensen,Software Architecture,2009,Modelling and Validation of Concurrent Systems,software architecture,available
Developing Ambient Intelligence,Antonio Maña,Software Architecture,2008,Topics: software architecture,software architecture,available
The Architecture of Scientific Software,Ronald F. Boisvert,Software Architecture,2001,Topics: software architecture,software architecture,unavailable
Agents and peer-to-peer computing,"AP2PC 2005 (2005 Utrecht, The Netherlands)",Software Architecture,2006,Topics: software architecture,software architecture,available
CORBA for real programmers,Reaz Hoque,Software Architecture,1999,Topics: software architecture,software architecture,unavailable
COM programming with Microsoft .NET,John Paul Mueller; Julian Templeman,Software Architecture,2003,Topics: software architecture,software architecture,unavailable
Advances in Computer and Information Sciences and Engineering,Tarek M. Sobh,Software Architecture,2008,Topics: software architecture,software architecture,available
Agents and peer-to-peer computing,Unknown,Software Architecture,2005,Topics: software architecture,software architecture,unavailable
Elemental 2,Daniel P. Wade; Paul Hellard,Software Architecture,2005,Topics: software architecture,software architecture,available
Coherency management,Gary Doucet,Software Architecture,2009,Topics: software architecture,software architecture,available
Reversible Computation : Extending Horizons of Computing,Irek Ulidowski,Software Architecture,2020,Topics: software architecture,software architecture,available
Globalization of Mobile and Wireless Communications,Ramjee Prasad,Software Architecture,2011,Topics: software architecture,software architecture,available
Algorithms for sensor and ad hoc networks,Dorothea Wagner; Roger Wattenhofer,Software Architecture,2007,Topics: software architecture,software architecture,available
Ubiquitous and Pervasive Commerce,George Roussos,Software Architecture,2005,Topics: software architecture,software architecture,unavailable
Construction Documents & Services CD-ROM,Unknown,Software Architecture,2003,Topics: software architecture,software architecture,available
Materials and Methods CD-ROM,Unknown,Software Architecture,2003,Topics: software architecture,software architecture,available
Powerflash CD-ROM,Unknown,Software Architecture,2003,Topics: software architecture,software architecture,available
Service-driven approaches to architecture and enterprise integration,Raja Ramanathan; Kirtana Raja,Software Architecture,2013,Topics: software architecture,software architecture,available
Inside COM+ Base services,Guy Eddon; Henry Eddon,Software Architecture,1999,Topics: software architecture,software architecture,available
Building N-Tier applications with COM and Visual Basic 6.0,Ash Rofail; Tony Martin,Software Architecture,1999,Topics: software architecture,software architecture,available
Real time programming 1995,Phillip A. Laplante; Wolfgang A. Halang; P. Laplante,Software Architecture,1996,Topics: software architecture,software architecture,available
Architectural Engineer's Solutions Suite,McGraw-Hill,Software Architecture,1996,Topics: software architecture,software architecture,available
New generation of portal software and engineering,Jana Polgar,Software Architecture,2011,Topics: software architecture,software architecture,unavailable
OpenMP in the Era of Low Power Devices and Accelerators,Alistair P. Rendell; Barbara M. Chapman; Matthias S. Müller,Software Architecture,2013,Topics: software architecture,software architecture,available
Building an enterprise architecture practice,Martin Berg,Software Architecture,2006,Topics: software architecture,software architecture,available
The 25th Annual International Symposium on Computer Architecture,"International Symposium on Computer Architecture (25th 1998 Barcelona, Spain); IEEE Computer Society; Institute of Electrical and Electronics Engineers",Software Architecture,1998,Topics: software architecture,software architecture,available
Formal Methods for Eternal Networked Software Systems,Marco Bernardo,Software Architecture,2011,Topics: software architecture,software architecture,available
A Pipelined Multi-core MIPS Machine,Mikhail Kovalev; Silvia M. Müller; Wolfgang J. Paul,Software Architecture,2014,Topics: software architecture,software architecture,available
Distributed Intelligent Systems,Abdellah Bedrouni,Software Architecture,2009,Topics: software architecture,software architecture,available
Theory and Practice of Model Transformations,Jordi Cabot,Software Architecture,2011,Topics: software architecture,software architecture,unavailable
Enterprise service oriented architectures,James McGovern; Oliver Sims; Ashish Jain,Software Architecture,2006,Topics: software architecture,software architecture,available
Effective COM,Tim Ewald; Chris Sells; Keith Brown,Software Architecture,1998,Topics: software architecture,software architecture,available
Oracle Fusion Applications Administration Essentials,Faisal Ghadially; Kalpit Parikh,Software Architecture,2013,Topics: software architecture,software architecture,available
Systems and virtualization management,"SVM (2008 Munich, Germany)",Software Architecture,2008,"standards and new technologies : second international workshop, SVM 2008, Munich, Germany, October 21-22, 2008, proceedings",software architecture,available
Enterprise Architecture,Martin Op 't Land,Software Architecture,2009,Topics: software architecture,software architecture,available
Information systems transformation,William M. Ulrich,Software Architecture,2010,Topics: software architecture,software architecture,available
Emergent neural computational architectures based on neuroscience,Stefan Wermter; David J. Willshaw,Software Architecture,2001,Topics: software architecture,software architecture,available
Systolic Computations,M. A. Frumkin,Software Architecture,1992,Topics: software architecture,software architecture,available
Adaptive and Learning Agents,Matthew E. Taylor,Software Architecture,2010,Topics: software architecture,software architecture,available
Architecting composite applications and services with TIBCO,Paul C. Brown,Software Architecture,2012,Topics: software architecture,software architecture,available
Web services research for emerging applications,Liang-Jie Zhang,Software Architecture,2010,Topics: software architecture,software architecture,available
The Autodesk file,John Walker,Software Architecture,1989,Topics: software architecture,software architecture,available
User-Level Workflow Design,Anna-Lena Lamprecht,Software Architecture,2013,Topics: software architecture,software architecture,available
Facing the Multicore-Challenge III,Rainer Keller,Software Architecture,2013,Topics: software architecture,software architecture,unavailable
Reflections on the History of Computing,Arthur Tatnall,Software Architecture,2012,Topics: software architecture,software architecture,available
COM [plus] & XML,Richard C. Leinecker,Software Architecture,2001,Topics: software architecture,software architecture,unavailable
Patterns,Rufus Credle,Software Architecture,2007,Topics: software architecture,software architecture,available
Euro-Par 2012: Parallel Processing Workshops,Ioannis Caragiannis,Software Architecture,2013,Topics: software architecture,software architecture,available
Hardware and Software: Verification and Testing,Sharon Barner,Software Architecture,2011,Topics: software architecture,software architecture,unavailable
Plug and play software for agile manufacturing,Barbara L. Maia Goldstein,Software Architecture,1997,Topics: software architecture,software architecture,unavailable
Architecture description languages,"Workshop on Architecture Description Languages (2004 Toulouse, France)",Software Architecture,2005,Topics: software architecture,software architecture,unavailable
Agents and peer-to-peer computing,"AP2PC 2002 (2002 Bologna, Italy)",Software Architecture,2003,Topics: software architecture,software architecture,unavailable
Hardware and Software: Verification and Testing,Kedar S. Namjoshi,Software Architecture,2011,Topics: software architecture,software architecture,available
Advances in Design and Specification Languages for Embedded Systems,Sorin A. Huss,Software Architecture,2007,Topics: software architecture,software architecture,available
Autodesk Architectural Desktop R3.3 Fundamentals,Elise Moss; Chris Fox,Software Architecture,2001,Topics: software architecture,software architecture,available
Maud Lewis,Unknown,Software Architecture,1998,Topics: software architecture,software architecture,available
Allgemeines Kunstlerlexikon,Unknown,Software Architecture,2004,Topics: software architecture,software architecture,unavailable
A Love of Art,Unknown,Software Architecture,2001,Topics: software architecture,software architecture,available
Buckets,Unknown,Software Architecture,1998,Topics: software architecture,software architecture,available
Advanced information processing system (AIPS),Unknown,Software Architecture,1985,Topics: software architecture,software architecture,unavailable
Integrating backend systems with WebSphere application server on z/OS through Web services,Alex Louwe Kooijmans,Software Architecture,2008,Topics: software architecture,software architecture,available
MCSD test success,Ian Lewis; Bruce Nielson,Software Architecture,1999,Topics: software architecture,software architecture,available
Building COM applications with Internet Explorer,Jason Loveman,Software Architecture,1999,Topics: software architecture,software architecture,available
Methods for evaluating the utility of existing microcomputer software in curricular applications,Daniel L. Schodek,Software Architecture,1985,Topics: software architecture,software architecture,available
Peer-to-Peer Programming on Groove(R),James Edwards,Software Architecture,2002,Topics: software architecture,software architecture,available
MCSD analyzing requirements study guide (Exam 70-100).,"Syngress Media, Inc",Software Architecture,1999,Topics: software architecture,software architecture,unavailable
CPI-C,Unknown,Software Architecture,1994,Topics: software architecture,software architecture,available
A change-oriented architecture for mathematical authoring assistance,Marc Wagner,Software Architecture,2011,Topics: software architecture,software architecture,available
Service oriented architecture,Dominic Duggan,Software Architecture,2012,Topics: software architecture,software architecture,unavailable
Implementing distributed systems with Java and CORBA,Markus Aleksy,Software Architecture,2005,Topics: software architecture,software architecture,available
Network and parallel computing,"NPC 2004 (2004 Wuhan, China)",Software Architecture,2004,Topics: software architecture,software architecture,available
How to Survive in the Jungle of Enterprise Architecture Frameworks,Jaap Schekkerman,Software Architecture,2006,Topics: software architecture,software architecture,unavailable
Pro Hyper-V,Harley Stagner,Software Architecture,2009,Topics: software architecture,software architecture,available
FEAC certified enterprise architect CEA study guide,Prakash C. Rao,Software Architecture,2011,Topics: software architecture,software architecture,available
Compiler Construction,"Hutchison, David - undifferentiated",Software Architecture,2009,Topics: software architecture,software architecture,unavailable
"Reconfigurable Computing: Architectures, Tools and Applications",Phaophak Sirisuk,Software Architecture,2010,Topics: software architecture,software architecture,available
"Mobile and Ubiquitous Systems : Computing, Networking, and Services",Kan Zheng; Mo Li; Hungbo Jiang,Software Architecture,2013,Topics: software architecture,software architecture,available
Model driven architecture and ontology development,Dragan Gašević,Software Architecture,2006,Topics: software architecture,software architecture,available
Ontologies for agents,Valentina Tamma; Stephen Cranefield,Software Architecture,2005,Topics: software architecture,software architecture,available
COM and .Net interoperability,Andrew W. Troelsen,Software Architecture,2002,Topics: software architecture,software architecture,available
Agent-Oriented Software Engineering,Onn Shehory; Arnon Sturm,Software Architecture,2014,Topics: software architecture,software architecture,available
Agents and peer-to-peer computing,"AP2PC 2007 (2007 Honolulu, Hawaii)",Software Architecture,2010,Topics: software architecture,software architecture,available
Software Architecture,Oliver Vogel,Software Architecture,2011,Topics: software architecture,software architecture,available
Agreement Technologies,Carlos I. Chesnevar; Eva Onaindia de la Rivaherrera; Sascha Ossowski,Software Architecture,2012,Topics: software architecture,software architecture,available
Handbook of Data Intensive Computing,Borko Furht,Software Architecture,2011,Topics: software architecture,software architecture,available
Open architectures for formal reasoning and deductive technologies for software development,Unknown,Software Architecture,1994,Topics: software architecture,software architecture,available
"Advanced systems design with Java, UML, and MDA",K. Lano,Software Architecture,2005,Topics: software architecture,software architecture,unavailable
Practical guide to SAP Netweaver PI--development,Valentin Nicolescu,Software Architecture,2010,Topics: software architecture,software architecture,available
Peer-to-Peer Systems III,Unknown,Software Architecture,2005,Topics: software architecture,software architecture,unavailable
Euro-Par 2013 : Parallel Processing Workshops,Dieter an Mey; Michael Alexander; Bientinesi Paolo,Software Architecture,2014,Topics: software architecture,software architecture,unavailable
The Complete Reference to Professional SOA with Visual Studio 2005 (C# & VB 2005) .NET 3.0,Tom Yuan Gao,Software Architecture,2006,Topics: software architecture,software architecture,available
The Visual Learning Guide,David C. Gardner; Grace Joely Beatty,Software Architecture,1995,Topics: software architecture,software architecture,unavailable
Software Directory for Home Builders & Remodelers 1996,Melissa Brown,Software Architecture,1995,Topics: software architecture,software architecture,available
Enabling z/OS applications for SOA,Alex Louwe Kooijmans,Software Architecture,2009,Topics: software architecture,software architecture,available
Informed P2P User Act,United States. Congress. House. Committee on Energy and Commerce,Software Architecture,2009,Topics: software architecture,software architecture,unavailable
Microcomputer-assisted site design in landscape architecture,Howard Davis Hahn,Software Architecture,1985,Topics: software architecture,software architecture,unavailable
Mule in action,David Dossot,Software Architecture,2010,Topics: software architecture,software architecture,unavailable
Developing advanced web services through P2P computing and autonomous agents,Aboul Ella Hassanien,Software Architecture,2010,Topics: software architecture,software architecture,unavailable
Rigorous Software Engineering for Service-Oriented Systems,Martin Wirsing,Software Architecture,2011,Topics: software architecture,software architecture,available
Expert service-oriented architecture in C# 2005,Jeffrey Hasan; Mauricio Duran,Software Architecture,2006,Topics: software architecture,software architecture,available
SDL 2013: Model-Driven Dependability Engineering,Ferhat Khendek,Software Architecture,2013,Topics: software architecture,software architecture,unavailable
Computing systems reliability,M. Xie; Min Xie; Kim-Leng Poh,Software Architecture,2004,Topics: software architecture,software architecture,available
"Cluster Computing and the Grid (Ccgrid 2002), 2nd IEEE International Symposium on",Unknown,Software Architecture,2002,Topics: software architecture,software architecture,available
Mock Exams CD-ROM Set,Unknown,Software Architecture,2003,Topics: software architecture,software architecture,available
Patterns,John Ganci; Jonathan Adams; Isabella Bayer,Software Architecture,2006,Topics: software architecture,software architecture,available
Service-Oriented Computing,Quan Z. Sheng; Eleni Stroulia; Samir Tata,Software Architecture,2014,Topics: software architecture,software architecture,available
Knowledge Architectures,Denise A. D. Bedford,Software Architecture,2020,Topics: software architecture,software architecture,available
Environmental Software Systems,D. Russell; G. Schimak,Software Architecture,1995,Topics: software architecture,software architecture,available
eScience on Distributed Computing Infrastructure,Marian Bubak; Jacek Kitowski; Kazimierz Wiatr,Software Architecture,2014,Topics: software architecture,software architecture,available
Service-Oriented Modeling,Michael Bell,Software Architecture,2008,Topics: software architecture,software architecture,available
Strategic IT Management,Inge Hanschke,Software Architecture,2010,Topics: software architecture,software architecture,available
Model driven engineering languages and systems,"MODELS 2011 (2011 Wellington, N.Z.)",Software Architecture,2011,Topics: software architecture,software architecture,unavailable
Performance evaluation,Christoph Lindemann; Martin Reiser,Software Architecture,2000,Topics: software architecture,software architecture,unavailable
Laser Spectroscopy IV,"International Conference on Laser Spectroscopy (4th 1979 Rottach-Egern, Germany)",Software Architecture,1979,Topics: software architecture,software architecture,available
Analyzing requirements and defining .NET solution architectures,Randy Cornish,Software Architecture,2003,Topics: software architecture,software architecture,unavailable
One Hundred Treasures from the British Library,Harry N Abrams Inc; Staff Harry N. Abrams Inc,Software Architecture,1998,Topics: software architecture,software architecture,available
Distributed COM application development using Visual Basic 6.0,Jim Maloney,Software Architecture,1999,Topics: software architecture,software architecture,available
Distributed COM application development using Visual C++ 6.0,Jim Maloney,Software Architecture,2000,Topics: software architecture,software architecture,available
Trends in enterprise application architecture,"TEAA 2006 (2006 Berlin, Germany)",Software Architecture,2007,Topics: software architecture,software architecture,available
InfoSphere Warehouse,Chuck Ballard,Software Architecture,2010,Topics: software architecture,software architecture,available
Assessing enterprise coherence and maturity using enterprise architecture for Project Global Typhoon,William Neuendorf,Software Architecture,2008,Topics: software architecture,software architecture,unavailable
Selected papers from the 2002 LACSI symposium,Robert J. Fowler,Software Architecture,2004,Topics: software architecture,software architecture,available
Knative Cookbook,Burr Sutter; Kamesh Sampath,Software Architecture,2020,Topics: software architecture,software architecture,available
Formal Methods : Foundations and Applications,Sidney C. Nogueira; Ciprian Teodorov,Software Architecture,2024,Topics: software architecture,software architecture,unavailable
Trading agents,Michael P. Wellman,Software Architecture,2011,Topics: software architecture,software architecture,available
Political status of the Methodist Episcopal Church,Rumsey Smithson,Software Architecture,1996,Topics: software architecture,software architecture,available
CompleteHome,"Sierra On-Line, Inc",Software Architecture,1997,Topics: software architecture,software architecture,available
Real-life MDA,Unknown,Software Architecture,2006,Topics: software architecture,software architecture,available
IBM Lotus Notes and Domino 8. 5. 3,Tim Speed,Software Architecture,2012,Topics: software architecture,software architecture,available
A+ Certification Top Score Software,New Riders Development Team; Scott Berkel,Software Architecture,1999,Topics: software architecture,software architecture,available
Formal methods for software architectures,Marco Bernardo; Paola Inverardi,Software Architecture,2003,Topics: software architecture,software architecture,available
Recent Advances in the Message Passing Interface,Rainer Keller,Software Architecture,2010,Topics: software architecture,software architecture,available
Software Architecture,Ivica Crnkovic,Software Architecture,2011,Topics: software architecture,software architecture,available
Architecture of Computing Systems -- ARCS 2014,Erik Maehle; Kay Römer; Wolfgang Karl,Software Architecture,2014,Topics: software architecture,software architecture,available
Novell ZENworks for Desktops 4,Brad Dayley,Software Architecture,2003,Topics: software architecture,software architecture,available
Development with the Force.com platform,Jason Ouellette,Software Architecture,2010,Topics: software architecture,software architecture,available
Trustworthy Global Computing,Matteo Maffei; Emilio Tuosto,Software Architecture,2014,Topics: software architecture,software architecture,available
Reconfigurable System Design and Verification,Jacek F. Gieras,Software Architecture,2009,Topics: software architecture,software architecture,unavailable
"Aligning enterprise, system, and software architectures",Ivan Mistrík,Software Architecture,2013,Topics: software architecture,software architecture,available
Information Systems and e-Business Technologies,Roland H. Kaschek,Software Architecture,2008,Topics: software architecture,software architecture,available
Networks for Grid Applications,Ozgur Akan,Software Architecture,2009,Topics: software architecture,software architecture,unavailable
Formal design and verification of a reliable computing platform for real-time control,Ricky W. Butler,Software Architecture,1992,Topics: software architecture,software architecture,unavailable
"Software agent-based applications, platforms, and development kits",Rainer Unland,Software Architecture,2005,Topics: software architecture,software architecture,available
Advances in service-oriented and cloud computing,Spain) ESOCC (Conference) (2nd 2013 Málaga,Software Architecture,2013,Topics: software architecture,software architecture,available
McGraw-Hill microcomputing,Timothy J. O'Leary,Software Architecture,1994,Topics: software architecture,software architecture,available
Conversations About Challenges in Computing,Kathrine Aspaas; Dana Mackenzie; Are Magnus Bruaset,Software Architecture,2013,Topics: software architecture,software architecture,available
Paul Cezanne Portrait of My World,Corbis; CMMXS,Software Architecture,1996,Topics: software architecture,software architecture,unavailable
Retargeting of existing FORTRAN program and development of parallel compilers,D. P. Agrawal,Software Architecture,1988,Topics: software architecture,software architecture,available
Implementing the Storwize V7000 and the IBM System Storage SAN32B-E4 Encryption Switch,Jon Tate,Software Architecture,2012,Topics: software architecture,software architecture,available
IBM's LU 6.2 networking strategy,Alexa A. Dell'Acqua; John F. Mazzaferro,Software Architecture,1992,Topics: software architecture,software architecture,unavailable
Reconfigurable technology,Unknown,Software Architecture,2001,Topics: software architecture,software architecture,available
.NET e-business architecture,G. A. Sullivan,Software Architecture,2001,Topics: software architecture,software architecture,available
z/TPF and Websphere application server in a service oriented architecture,Barry Baker,Software Architecture,2007,Topics: software architecture,software architecture,available
MCSE Windows 2000 network infrastrucure design,New Riders Development Team,Software Architecture,2000,Topics: software architecture,software architecture,available
Oracle modernization solutions,Tom Laszewski,Software Architecture,2008,Topics: software architecture,software architecture,unavailable
Hardware-software co-design of embedded systems,Felice Balarin; F. Balarin; Paolo Di Giusto,Software Architecture,1997,Topics: software architecture,software architecture,available
Mastering microcomputers,"Davis, William S.; William S. Davis; Donald L. Byrkett",Software Architecture,1993,Topics: software architecture,software architecture,available
Parallel problem solving from nature--PPSN VIII,"Conference on Parallel Problem Solving from Nature (8th 2004 Birmingham, England)",Software Architecture,2004,Topics: software architecture,software architecture,unavailable
Designing a New Class of Distributed Systems,Rao Mikkilineni,Software Architecture,2011,Topics: software architecture,software architecture,available
S-BPM ONE -- Scientific Research,Alexandros Nanopoulos; Werner Schmidt,Software Architecture,2014,Topics: software architecture,software architecture,available
Requirements engineering,Elizabeth Hull,Software Architecture,2004,Topics: software architecture,software architecture,unavailable
SOA Design Patterns,Thomas Erl,Software Architecture,2008,Topics: software architecture,software architecture,unavailable
"The Software Catalog: Microcomputers, Spring 1989",Unknown,Software Architecture,1989,Topics: software architecture,software architecture,unavailable
SAP NetWeaver Portal,Valentin Nicolescu; Katharina Klappert; Helmut Krcmar,Software Architecture,2008,Topics: software architecture,software architecture,available
Interactive Theorem Proving and Program Development,Yves Bertot,Software Architecture,2004,Topics: software architecture,software architecture,unavailable
Languages and architectures for image processing,M. J. B. Duff; S. Levialdi,Software Architecture,1981,Topics: software architecture,software architecture,available
Oracle Fusion middleware 11g architecture and management,Reza Shafii,Software Architecture,2011,Topics: software architecture,software architecture,available
Architectural design of multi-agent systems,Hong Lin,Software Architecture,2007,Topics: software architecture,software architecture,available
Architecting Dependable Systems V,"Hutchison, David - undifferentiated",Software Architecture,2008,Topics: software architecture,software architecture,available
Guide to RISC Processors,Sivarama P. Dandamudi,Software Architecture,2005,Topics: software architecture,software architecture,available
The Austin protocol compiler,Tommy M. McGuire,Software Architecture,2004,Topics: software architecture,software architecture,available
Business object design and implementation,"OOPSLA (Conference) (1995 Austin, Tex.); J. Sutherland; D. Patel",Software Architecture,1997,Topics: software architecture,software architecture,available
MCSE TestPrep,"Joe Casad; Robert J., Iii Cooper; Mark D. Hall",Software Architecture,1997,Topics: software architecture,software architecture,available
Mechanical & Electrical Systems CD-ROM,Unknown,Software Architecture,2003,Topics: software architecture,software architecture,available
"Wireless Algorithms, Systems, and Applications",Benyuan Liu,Software Architecture,2009,Topics: software architecture,software architecture,available
SOA and WS-BPEL,Yuli Vasiliev,Software Architecture,2007,Topics: software architecture,software architecture,available
Programming massively parallel processors hands-on with CUDA,"Kirk, David",Software Architecture,2010,Topics: software architecture,software architecture,available
High Performance Architecture and Grid Computing,Archana Mantri,Software Architecture,2011,Topics: software architecture,software architecture,unavailable
Methods and procedures for the verification and validation of artificial neural networks,Brian J. Taylor,Software Architecture,2006,Topics: software architecture,software architecture,available
Build your own multimedia PC,Ian Robertson Sinclair,Software Architecture,1996,Topics: software architecture,software architecture,available
Inductive logic programming,Francesco Bergadano; Daniele Gunetti,Software Architecture,1995,Topics: software architecture,software architecture,available
Force. com Developer Certification Handbook (DEV401),Siddhesh Kabe,Software Architecture,2012,Topics: software architecture,software architecture,available
"Technological Developments in Networking, Education and Automation",Khaled Elleithy,Software Architecture,2010,Topics: software architecture,software architecture,available
Upgrading and repairing Microsoft Windows,Scott Mueller; Brian Knittel,Software Architecture,2005,Topics: software architecture,software architecture,available
"Internet of Things, Smart Spaces, and Next Generation Networking",Sergey Andreev,Software Architecture,2012,Topics: software architecture,software architecture,available
Workflows for e-science,Ian J. Taylor,Software Architecture,2006,Topics: software architecture,software architecture,available
Algorithmic aspects of wireless sensor networks,"ALGOSENSORS 2009 (2009 Rhodes, Greece)",Software Architecture,2009,Topics: software architecture,software architecture,available
Building knowledge-based systems,"Edwards, John",Software Architecture,1990,Topics: software architecture,software architecture,available
Visualization of unsteady computational fluid dynamics,Robert Haimes,Software Architecture,1994,Topics: software architecture,software architecture,unavailable
Using neural networks in software repositories,Unknown,Software Architecture,1992,Topics: software architecture,software architecture,available
Definition of avionics concepts for a heavy lift cargo vehicle,Unknown,Software Architecture,1989,Topics: software architecture,software architecture,unavailable
Peer to Peer Application Development,Dreamtech Software Team,Software Architecture,2001,Topics: software architecture,software architecture,available
The Role of computers in research and development at Langley Research Center,Unknown,Software Architecture,1994,Topics: software architecture,software architecture,available
Jxta,Brendon J. Wilson,Software Architecture,2002,Topics: software architecture,software architecture,available
Distributed COM Application Development Using Visual Basic 6.0 and MTS,Jim Maloney,Software Architecture,1999,Topics: software architecture,software architecture,unavailable
Characterising action potential in virtual game worlds applied with the mind module,Mirjam Palosaari Eladhari,Software Architecture,2011,Topics: software architecture,software architecture,unavailable
S-BPM ONE – Setting the Stage for Subject-Oriented Business Process Management,Hagen Buchwald,Software Architecture,2010,Topics: software architecture,software architecture,available
Proceedings,"International Symposium on Computational Intelligence and Design (3rd 2010 Hangzhou, Zhejiang, China)",Software Architecture,2010,Topics: software architecture,software architecture,available
Proceedings,"International Symposium on Computational Intelligence and Design (2nd 2009 Changsha, China)",Software Architecture,2008,Topics: software architecture,software architecture,available
Proceedings of the 2008 International Symposium on Computational Intelligence and Design,"International Symposium on Computational Intelligence and Design (1st 2008 Wuhan, China)",Software Architecture,2008,Topics: software architecture,software architecture,available
Models in Software Engineering,Juergen Dingel,Software Architecture,2011,Topics: software architecture,software architecture,available
Future generation grids,"Workshop on Future Generation Grids (2004 Dagstuhl, Germany)",Software Architecture,2005,Topics: software architecture,software architecture,available
Speech Recognition,Unknown,Software Architecture,1997,Topics: software architecture,software architecture,available
Network and parallel computing,"NPC 2007 (2007 Dalian Shi, China)",Software Architecture,2007,Topics: software architecture,software architecture,available
WCF 4.0 multi-tier services development with LINQ to entities,Ming T. Liu,Software Architecture,2010,Topics: software architecture,software architecture,available
Parallel problem solving from nature-PPSN V,"Conference on Parallel Problem Solving From Nature (5th 1998 Amsterdam, Netherlands)",Software Architecture,1998,Topics: software architecture,software architecture,available
Practical REST on Rails 2 projects,Ben Scofield,Software Architecture,2008,Topics: software architecture,software architecture,available
From P2P and grids to services on the web,Ian J. Taylor,Software Architecture,2009,Topics: software architecture,software architecture,available
LOTOSphere,Unknown,Software Architecture,1995,Topics: software architecture,software architecture,available
Fallingwater in 3D studio,Laura Sanchez; Alex Sanchez,Software Architecture,1994,Topics: software architecture,software architecture,available
Moving Wearables into the Mainstream,Joseph L. Dvorak,Software Architecture,2007,Topics: software architecture,software architecture,available
"Using and Improving OpenMP for Devices, Tasks, and More",Luiz DeRose; Bronis R. de Supinski; Stephen L. Olivier,Software Architecture,2014,Topics: software architecture,software architecture,available
"Tools for Artificial Intelligence, '89 International Workshop",University Of California,Software Architecture,1989,Topics: software architecture,software architecture,available
"Architectures, languages, and algorithms","IEEE International Workshop on Tools for Artificial Intelligence (1st 1989 Fairfax, Va.)",Software Architecture,1989,Topics: software architecture,software architecture,available
A Generic Fault-Tolerant Architecture for Real-Time Dependable Systems,David Powell,Software Architecture,2001,Topics: software architecture,software architecture,available
Combinatorial and Algorithmic Aspects of Networking,Jeannette Janssen,Software Architecture,2007,Topics: software architecture,software architecture,available
Advances in Wireless Sensor Networks,Ruchuan Wang,Software Architecture,2013,Topics: software architecture,software architecture,available
Zenoss Core network and system monitoring,Michael Badger,Software Architecture,2008,Topics: software architecture,software architecture,available
Expert Oracle application express plug-ins,Martin Giffy D'Souza,Software Architecture,2011,Topics: software architecture,software architecture,unavailable
Ambient intelligence,"AmI 2009 (2009 Salzburg, Austria)",Software Architecture,2009,Topics: software architecture,software architecture,available
Claude Monet the Magician of Colou (Adventures in Art),Stephan Koja; Katja Miksovsky,Software Architecture,1998,Topics: software architecture,software architecture,available
Agents and Peer-to-Peer Computing,Sam Joseph,Software Architecture,2008,Topics: software architecture,software architecture,available
Scalable information systems,"INFOSCALE 2009 (2009 Hong Kong, China)",Software Architecture,2009,Topics: software architecture,software architecture,available
CODES 2002,"International Symposium on Hardware/Software Codesign (10th 2002 Estes Park, Colo.); International Symposium on Hardware; Denmark) Software Codesign (10th : 2001 : Copenhagen",Software Architecture,2002,Topics: software architecture,software architecture,unavailable
Building SOA-based composite applications using NetBeans IDE 6,David Salter,Software Architecture,2008,Topics: software architecture,software architecture,unavailable
Architecting critical systems,"ISARCS 2010 (2010 Prague, Czech Republic)",Software Architecture,2010,Topics: software architecture,software architecture,available
Java.rmi,Esmond Pitt,Software Architecture,2001,Topics: software architecture,software architecture,available
Delphi programming with COM and ActiveX,V. Ponamarev,Software Architecture,2003,Topics: software architecture,software architecture,available
"A+ Exam Cram, 2nd Edition Personal Trainer (Exam",James G. Jones; Craig Landes; Gareth Gudger,Software Architecture,2001,"220-201, 220-202)",software architecture,unavailable
Understanding SOA security,Axel Bücker,Software Architecture,2007,Topics: software architecture,software architecture,available
"Mobile Computing, Applications, and Services",Thomas X. Phan,Software Architecture,2010,Topics: software architecture,software architecture,available
"Languages, compilers, and run-time systems for scalable computers","LCR 2000 (2000 Rochester, N.Y.)",Software Architecture,2000,Topics: software architecture,software architecture,unavailable
Design in nature,C. Mattheck,Software Architecture,1998,Topics: software architecture,software architecture,available
Professional MTS and MSMQ with VB and ASP,Alex Homer; David Sussman,Software Architecture,1998,Topics: software architecture,software architecture,available
Northcon/93,"Northcon/93 (1993 Portland, Or.)",Software Architecture,1993,Topics: software architecture,software architecture,unavailable
Information Security Theory and Practice. Security of Mobile and Cyber-Physical Systems,Lorenzo Cavallaro,Software Architecture,2013,Topics: software architecture,software architecture,unavailable
Modelling foundations and applications,"European Conference on Modelling Foundations and Applications (6th 2010 Paris, France)",Software Architecture,2010,Topics: software architecture,software architecture,available
Real-Time Programming 1992 (IFAC Postprint Volume),Unknown,Software Architecture,1992,Topics: software architecture,software architecture,available
AutoCAD 2009 for interior design and space planning,Beverly L. Kirkpatrick,Software Architecture,2009,Topics: software architecture,software architecture,available
Applied Parallel and Scientific Computing,Pekka Manninen,Software Architecture,2013,Topics: software architecture,software architecture,unavailable
